question,answer,chunk_id,source
What mechanisms are in place to ensure mutual authentication for A2A communication in our system?,"The current implementation lacks mutual authentication mechanisms, allowing agents to accept messages from any sender.",a8dff6e3-f505-5b5d-88ec-c6efa167c303,owasp_agentic_top_10
How do we protect against replay attacks in our inter-agent communication channels?,"Currently, there is no nonce-based replay protection implemented, making the system vulnerable to replay attacks.",a8dff6e3-f505-5b5d-88ec-c6efa167c303,owasp_agentic_top_10
What specific penetration testing requirements are outlined for agents in operational technology environments?,"The documentation specifies that for agents deployed in or adjacent to operational technology environments, additional tests such as zone boundary enforcement and safety alarm independence must be conducted.",d2932af4-51cf-54e4-b34e-775a99c39bde,owasp_agentic_top_10
Can you detail the frequency and scope of the penetration tests required for ASI entries?,The documentation states that a full penetration test covering all ASI entries should be conducted annually.,d2932af4-51cf-54e4-b34e-775a99c39bde,owasp_agentic_top_10
What specific mitigations are recommended to prevent unexpected code execution in LLM-generated code?,Implement adequate static analysis and sandboxing measures to validate and isolate code execution.,23c45921-1b0f-57b4-be9b-3579990052d6,owasp_agentic_top_10
Can you provide examples of how CWE-94 and CWE-78 apply to the risks associated with code generation in AI agents?,"CWE-94 applies as the agent might generate code without proper control, while CWE-78 highlights risks when shell commands are executed without proper sanitization.",23c45921-1b0f-57b4-be9b-3579990052d6,owasp_agentic_top_10
What measures are in place to ensure that third-party components used in our agent systems are current and free of known vulnerabilities?,"All agent component libraries are scanned for CVEs, and a Machine Learning Software Bill of Materials (ML SBOM) is maintained and monitored.",956e954f-20d5-51dd-a260-5d179f31ce9e,owasp_agentic_top_10
How does our CI/CD pipeline incorporate security checks for agent components?,The CI/CD pipeline for agent components includes integrity verification and CVE scanning to ensure security at every stage.,956e954f-20d5-51dd-a260-5d179f31ce9e,owasp_agentic_top_10
What are the implementation priorities for addressing the highest exploitability vulnerabilities in the ASI entries?,"The implementation priorities for addressing the highest exploitability vulnerabilities are categorized as follows: Phase 1 (Do now) includes ASI01, ASI02, ASI03, which have the highest exploitability and largest blast radius.",740a318d-294d-5482-b17e-f36e5c0115c7,owasp_agentic_top_10
Can you explain the rationale behind the prioritization of ASI entries for the current sprint?,"The rationale for the current sprint prioritization (Phase 2) includes ASI05 and ASI10, which are associated with remote code execution (RCE) and rogue agent risks, deemed catastrophic if triggered.",740a318d-294d-5482-b17e-f36e5c0115c7,owasp_agentic_top_10
What are the specific input validation requirements for agent input channels as outlined in the ASVS verification checklist?,V5.1.1: Input validation on all agent input channels.,fa25b03f-9090-5c63-97d4-802b1305eb5b,owasp_agentic_top_10
How is least privilege enforced for agent tools and credential access in agentic AI deployments?,V4.1.1/V4.1.3: Least privilege on all agent tool and credential access.,fa25b03f-9090-5c63-97d4-802b1305eb5b,owasp_agentic_top_10
What are the potential indicators of a rogue agent that appears compliant but may have hidden goals?,"Malicious or compromised agents can hijack workflows or systematically deviate from their intended purpose, often resulting from undetected ASI01 or ASI06 attacks.",68171d6f-09a3-52ba-a38b-505a2db78cbc,owasp_agentic_top_10
"Which MITRE ATLAS techniques are associated with rogue agents, and what tactics do they employ?","The associated techniques include LLM Jailbreak (Execution), LLM Capability Escalation (Privilege Escalation), and Exploit Public-Facing ML Application (Persistence).",68171d6f-09a3-52ba-a38b-505a2db78cbc,owasp_agentic_top_10
What measures are in place to ensure that access to sensitive data is limited to authorized users?,"Access to sensitive data is limited based on the principle of least privilege, granting only the necessary access to users or processes.",8252562a-c972-52cb-9405-31615bcc86cf,owasp_llm_top_10
How does the implementation of federated learning contribute to data privacy in model training?,"Federated learning allows models to be trained on decentralized data stored across multiple servers or devices, reducing the need for centralized data collection and minimizing exposure risks.",8252562a-c972-52cb-9405-31615bcc86cf,owasp_llm_top_10
What measures can be implemented to prevent dataset poisoning in AI models?,"Preventive measures include data validation, anomaly detection, and the use of robust training techniques to mitigate the impact of poisoned datasets.",0a7c199d-b19f-5bff-90a0-94e5ec15aec9,owasp_llm_top_10
How can the security of applications be ensured against tampered versions that lead users to scam sites?,"Implementing app integrity checks, user education on recognizing genuine apps, and monitoring for unusual app behavior can help secure applications from tampering.",0a7c199d-b19f-5bff-90a0-94e5ec15aec9,owasp_llm_top_10
What monitoring and auditing practices are recommended for collaborative model development environments to detect abuse?,"Implement strict monitoring and auditing practices, using automated scripts like the HuggingFace SF_Convertbot Scanner to quickly detect any abuse.",36299353-6eda-542f-a358-0fb8f82751bd,owasp_llm_top_10
How can anomaly detection and adversarial robustness tests be integrated into MLOps pipelines?,"Anomaly detection and adversarial robustness tests can help detect tampering and poisoning, ideally as part of MLOps and LLM pipelines, though they may be easier to implement during red teaming exercises.",36299353-6eda-542f-a358-0fb8f82751bd,owasp_llm_top_10
What specific input validation techniques are recommended to prevent side-channel attacks on LLMs?,Implement strict input validation to ensure that inputs do not exceed reasonable size limits.,d5193de7-3139-562b-bfa4-90352a1172ae,owasp_llm_top_10
How can we limit the exposure of sensitive information like logit_bias and logprobs in API responses?,"Restrict or obfuscate the exposure of `logit_bias` and `logprobs` in API responses, providing only the necessary information without revealing detailed probabilities.",d5193de7-3139-562b-bfa4-90352a1172ae,owasp_llm_top_10
What are the risks associated with the use of vulnerable pre-trained models in LLM applications?,"Vulnerable pre-trained models can contain hidden biases, backdoors, or other malicious features not identified through safety evaluations, potentially compromising the security of LLM applications.",b0e8eae9-b5b5-5cca-b403-bdf618f04dac,owasp_llm_top_10
How can weak model provenance impact the security of LLM applications?,"Weak model provenance offers no guarantees on the origin of models, making them susceptible to supply-chain attacks where an attacker compromises a supplier account or uses social engineering to introduce malicious models.",b0e8eae9-b5b5-5cca-b403-bdf618f04dac,owasp_llm_top_10
What are the potential risks associated with including sensitive information in system prompts of LLMs?,"Including sensitive information in system prompts can lead to unintended disclosure of secrets, facilitating other attacks.",84f77bfb-2cbc-5532-91fd-49829cc1fbb3,owasp_llm_top_10
How should sensitive data be handled in the context of system prompts for LLMs?,"Sensitive data such as credentials or connection strings should not be contained within system prompts, as they are not considered secure.",84f77bfb-2cbc-5532-91fd-49829cc1fbb3,owasp_llm_top_10
What mechanisms are in place to prevent excessive agency in LLM-based systems when integrating extensions?,...,bf776e65-34fe-5aff-82a1-a2560ead738a,owasp_llm_top_10
How does the system ensure that ambiguous outputs from an LLM do not lead to unintended actions by an agent-based system?,...,bf776e65-34fe-5aff-82a1-a2560ead738a,owasp_llm_top_10
What are the risks associated with using insecure third-party libraries suggested by LLMs?,"The risks include introducing vulnerabilities into software systems, as these libraries may be insecure or non-existent, leading to potential security breaches.",e1d1777c-57f5-538e-b3c9-0c6de64d2405,owasp_llm_top_10
How can Retrieval-Augmented Generation (RAG) help mitigate misinformation in model outputs?,"RAG enhances the reliability of model outputs by retrieving verified information from trusted external databases during response generation, reducing the risk of hallucinations.",e1d1777c-57f5-538e-b3c9-0c6de64d2405,owasp_llm_top_10
